"Tags","Tag Occurrences","Average Searches (US)","Average Clicks (US)","Average CTR (US)","Etsy Competition (US)","Google Searches","Google Competition","Google CPC"
"tungsten ring","82","3700","5273","143","45029","40500","1","3.42"
"men's tungsten band","79","0","0","0","38883","260","1","1.89154"
"men's tungsten ring","79","110","110","100","39738","9900","0.999812","1.79456"
"tungsten band","78","50","18","36","42285","590","1","3.85"
"men's wedding ring","75","15","19","127","182020","90500","0.999988","2.66017"
"men's wedding band","72","2095","2247","107","129454","246000","1","3.54458"
"tungsten","66","575","279","49","46769","74000","0.91","2.47"
"ring","53","71873","92521","129","2058447","823000","0.999399","1.07435"
"black ring","48","5085","4483","88","209538","18100","1","3.65"
"black tungsten band","42","0","0","0","21453","50","1","2.24458"
"black tungsten","38","0","0","0","22554","480","0.994558","3.79229"
"black band","27","15","13","87","137995","1900","0.87","2.43"
"personalized ring","25","4630","4750","103","120086","4400","1","3.86"
"tungsten black","24","0","0","0","22627","0","0","0"
"wedding band","18","14539","16322","112","310535","110000","1","7"
"wedding ring","18","9064","9601","106","689048","368000","0.99","4.41"
"men's ring","17","716","474","66","412681","135000","1","1.46346"
"black tungsten ring","13","20","19","95","22265","3600","0.999537","2.66548"
"blue tungsten ring","12","21","0","0","6870","880","1","4.2"
"men's tungsten","11","0","0","0","39099","0","0","0"
"rose gold band","10","503","703","140","134123","2400","1","5.59"
"titanium ring mens","9","0","0","0","18766","8100","1","2.23351"
"engraved ring","9","7461","9301","125","52109","9900","1","4.23"
"mens ring","9","35075","45566","130","420801","201000","1","2.62"
"titanium","9","3542","4714","133","64946","74000","0.04","6.59"
"titanium band","9","131","184","140","18214","390","1","2.26"
"titanium ring","9","2510","1965","78","25429","12100","1","2.33"
"rose gold ring","8","3198","2331","73","337025","27100","1","3.95"
"tungsten mens band","8","0","0","0","39626","0","0","0"
"men's band","7","0","0","0","265637","2900","1","1.19743"
"blue ring","6","763","782","102","273015","2900","1","6"
"wedding","6","54180","47322","87","4558587","165000","0.208747","1.51541"
"meteorite ring","6","1472","1603","109","4924","14800","1","3.61"
"engraving","6","1163","995","86","190428","49500","0.92","2.78"
"deer antler band","5","5","4","80","1597","10","1","0.862405"
"celtic ring","5","2097","1728","82","23341","4400","0.99","2.57"
"black titanium ring","5","345","166","48","5774","1900","1","2"
"black titanium","5","10","10","100","12676","1000","1","2.66"
"titanium black ring","5","10","10","100","5821","1900","1","2"
"men's black ring","5","0","0","0","67336","0","0","0"
"black titanium band","5","0","0","0","4820","0","0","0"
"pet tag","4","2177","2867","132","75523","6600","1","4.84"
"pet id tag","4","1090","1080","99","40094","6600","1","2.63"
"cat gifts","4","2520","1887","75","364918","4400","1","4"
"deer antler ring","4","165","231","140","2289","1600","1","4.35"
"cat id tags","4","54","39","72","25175","3600","1","2.94"
"dog tags","4","9142","10961","120","122664","74000","1","4.1"
"pet tags","4","990","1242","125","75596","6600","1","4.64"
"cat tags","4","621","364","59","66815","3600","1","3.13"
"pet gifts","4","7857","4493","57","462307","1900","0.99","2.24"
"personalized dog tag","4","2076","2758","133","42554","9900","1","3.61"
"dog","4","39808","46416","117","1600135","2240000","0.03","3.62"
"customized pet tag","4","0","0","0","35241","1600","1","3.76003"
"dog tag","4","35847","50616","141","122664","74000","1","4.1"
"men's silver band","4","0","0","0","91924","0","0","0"
"rose gold tungsten","4","0","0","0","12472","110","1","1.98304"
"band","4","1548","1186","77","776046","90500","0.17","2.43"
"koa wood ring","4","353","297","84","2668","1900","1","3.06"
"titanium band men's","4","0","0","0","14983","0","0","0"
"titanium mens ring","4","59","56","95","18846","8100","1","2.4"
"tungsten ring set","4","159","10","6","3993","90","1","1.2"
"whiskey barrel band","3","93","46","49","2267","140","0.99","3.45"
"deer antler","3","765","651","85","38303","40500","1","1.46"
"whiskey barrel","3","2191","2061","94","9654","27100","1","3.84"
"rustic wedding band","3","408","403","99","5252","210","1","5.65"
"couple's rings","3","118","176","149","26657","18100","0.999983","1.1749"
"whiskey barrel ring","3","2615","3113","119","2398","5400","1","4.89"
"blue band","3","0","0","0","84832","2900","0.140254","0.125843"
"red tungsten band","3","0","0","0","1301","0","0","0"
"tungsten celtic band","3","0","0","0","2241","10","0","0"
"red tungsten ring","3","0","0","0","1342","260","0.998724","1.648"
"tungsten celtic ring","3","0","0","0","2303","0","0","0"
"blue tungsten","3","0","0","0","6991","390","1","4.21"
"dog id tags","3","168","161","96","37689","12100","1","3.37"
"celtic tungsten ring","3","109","0","0","2276","170","1","2.53"
"meterorite","2","84","0","0","45","49500","1","1.9"
"green tungsten ring","2","5","4","80","1339","210","1","1.72017"
"men","2","22087","27668","125","8172917","550000","0","0.79"
"koa wood band","2","0","0","0","2447","0","0","0"
"carbon fiber ring","2","1927","2059","107","2945","3600","1","3.69"
"yellow gold band","2","0","0","0","80046","260","0.999502","2.3035"
"rose gold koa ring","2","0","0","0","513","0","0","0"
"meteorite band","2","0","0","0","3723","480","0.85","4.55"
"meteorite tungsten","2","0","0","0","1977","0","0","0"
"arrow mens ring","2","0","0","0","1033","0","0","0"
"rose gold arrow ring","2","0","0","0","612","90","1","1.03866"
"blue","2","21732","31919","147","7780977","673000","0.01","2.64"
"red","2","18632","27942","150","5482693","1830000","0","0.9"
"couples ring set","2","44","37","84","7768","6600","1","2.2"
"rose gold","2","11537","15101","131","1043209","110000","1","3.36"
"comfort fit ring","2","19","22","116","21334","590","1","9"
"blue tungsten band","2","0","0","0","6689","0","0","0"
"arrow tungsten ring","2","0","0","0","355","0","0","0"
"black","1","22569","33086","147","10232050","1220000","0.00334545","2.73197"
"tungsten ring yellow","1","0","0","0","4780","0","0","0"
"yellow gold tungsten","1","0","0","0","4584","20","1","0.89089"
"ceramic","1","11964","10286","86","1787535","90500","0.0659357","1.35051"
"turquoise band","1","76","32","42","15700","480","1","2.18"
"gold tungsten band","1","0","0","0","18189","0","0","0"
"yellow band","1","0","0","0","95958","1000","0.03","0"
"yellow gold ring","1","261","319","122","216456","1900","1","6.08"
"purple tungsten ring","1","0","0","0","750","260","1","3.65"
"purple tungsten band","1","0","0","0","726","0","0","0"
"mens rose gold ring","1","20","18","90","68942","4400","1","3.91"
"men's ceramic ring","1","0","0","0","5183","0","0","0"
"rose gold mens","1","0","0","0","146699","590","1","1.54142"
"men's gift","1","7","2","29","3753047","201000","1","1.50967"
"abablone ring","1","0","0","0","4","0","0","0"
"abalone band","1","0","0","0","1098","10","0.928571","0.658913"
"koa wood","1","218","61","28","5690","9900","1","1.7"
"anniversary band","1","95","9","9","147622","9900","1","4.36"
"wood ring","1","3460","4306","124","53290","12100","1","1.20467"
"pink tungsten ring","1","0","0","0","302","40","1","0.853884"
"ceramic band","1","0","0","0","8082","50","1","0.967089"
"brown tungsten band","1","0","0","0","1346","0","0","0"
"men's blue ring","1","0","0","0","57023","1300","1","1.17288"
"6mm tungsten ring","1","0","0","0","6945","140","1","2.73286"
"tungsten men","1","0","0","0","41609","0","0","0"
"silver tungsten","1","0","0","0","17559","50","1","2.29721"
"red celtic ring","1","0","0","0","1070","0","0","0"
"red ring","1","792","752","95","113858","4400","1","2.65"
"black mens ring","1","20","14","70","66106","14800","1","2.94"
"black meteorite ring","1","1","0","0","1185","210","1","3.85"
"green ring","1","2105","2294","109","170373","5400","0.94","3.23"
"green tungsten band","1","0","0","0","1321","0","0","0"
"mens tungsten ring","1","119","72","61","40517","14800","1","3.88"
"brown tungsten ring","1","5","4","80","1316","90","1","4.6"
"brown wedding ring","1","0","0","0","14952","0","0","0"
"turquoise ring","1","10890","11484","105","78584","18100","1","2.22"
"brown ring","1","11","9","82","60312","590","1","2.5"
"brown band","1","0","0","0","25899","0","0","0"
"brown tungsten","1","0","0","0","1497","0","0","0"
"hot pink men's ring","1","0","0","0","284","0","0","0"
"pink","1","24372","35803","147","5554324","1000000","0.98","70"
"blue mens ring","1","0","0","0","55414","1300","1","4.2"
"green celtic ring","1","0","0","0","2033","20","1","0.464209"
"rose gold men's ring","1","0","0","0","70757","3600","1","1.17813"
"ring set","1","12233","13901","114","212701","18100","1","4"
"black ceramic ring","1","122","0","0","5180","390","1","3.63"
"ceramic ring","1","625","237","38","29190","1900","1","1.88234"
"men's ceramic band","1","0","0","0","2248","0","0","0"
"dog id tag","1","1352","1490","110","39782","12100","1","3.37"