angle,hook,primary_text,description,cta,suggested_reel,needs_new_video_concept
STORY,A meteorite older than Earth.,"This band holds a meteorite older than Earth itself. Forged from a rock that traveled the cosmos. Now it grounds a promise. A story written in the stars, built in Texas.",Your story starts with a material that has its own. Free engraving included.,Learn More,needs-new-video,"Close-up shot of a meteorite inlay ring, with text overlay about its age and origin."
STORY,Whiskey barrels became wedding bands.,"This ring began as a whiskey barrel. Aged oak, steeped in character and history. We craft that story into a band with weight and warmth. A legacy you can wear.",Real materials with real history. Texas crafted since 2011.,Shop Now,needs-new-video,Video showing the transformation from barrel wood to polished ring inlay.
STORY,Dinosaur bone. A prehistoric promise.,"Wear a piece of deep time. Genuine dinosaur bone, set against rugged tungsten. A conversation piece for a lifetime. For the man whose bond is built to last.",A story millions of years in the making. Free custom engraving.,Learn More,dragon-black-tungsten-mens-wedding-ring-with-synthetic-orange-opal-inlay-8mm,
STORY,Koa wood from Hawaiian shores.,"Koa wood, harvested from Hawaiian forests. Each grain tells a story of sun and salt air. We inlay it here in Texas. A band with heritage in its core.",Character rich materials. Worldwide delivered.,Shop Now,odyssey-black-ceramic-ring-carpathian-elm-wood-inlay,
SENSORY,Feel the solid weight of it.,"The cool, substantial weight of tungsten. It sits with a confident presence on your hand. A polished finish that catches the light, not scratches. Comfort fit for every day.",Real quality you can feel. Scratch resistant and built to last.,Shop Now,auric-silver-tungsten-ring-white-black-and-gold-foil-resin-inlay,
SENSORY,The low profile comfort fit.,"Engineered for a life lived with your hands. The smooth, rounded interior glides on and off. It feels like it's always been there. A ring you forget to take off.",Comfort fit designed in Texas. Lifetime warranty included.,Learn More,laurent-platinum-inlaid-beveled-tungsten-ring-with-diamond-8mm,
SENSORY,Light plays on the hammered finish.,"A textured, hammered center catches light differently with every move. It feels rugged under your thumb. This is tactile character. Built for the man who wears something real.",Real Texas craft. Real people behind every band.,Shop Now,knox-gold-tungsten-ring-black-hammered,
SENSORY,The beveled edge. A clean line.,"Precision bevels create sharp, clean lines. It looks modern and intentional. The polished black tungsten has a deep, liquid sheen. The kind of ring people ask about.",From the heart of Texas. Comfort fit and scratch resistant.,Shop Now,american-flag-cross-engraved-black-tungsten-beveled-band,
PATRIOTIC,Wear your American pride.,"The flag isn't just a symbol. It's a commitment. Crafted with precision in Texas, worn with pride anywhere. This is more than a ring. It's a statement.",American made. Texas crafted. Worldwide delivered.,Shop Now,american-flag-cross-engraved-black-tungsten-beveled-band,
PATRIOTIC,Built in Texas. Built to last.,We don't outsource our integrity. Every band is crafted by real people right here in Texas. That's the promise in the weight. American quality through and through.,Real quality. Real people. Real Texas craft.,Learn More,needs-new-video,"Shot of a craftsman's hands in a Texas workshop, finishing a ring."
PATRIOTIC,American craft. Texas heart.,"From our workshop to your hand. We believe in making things that last, the American way. Durable materials, honest craftsmanship. A band with backbone.",Built In Texas Since 2011. Lifetime warranty included.,Shop Now,nevan-black-tungsten-ring-espresso-groove,
PATRIOTIC,For the man who values origin.,You know where your tools are made. Your truck. Your whiskey. Your ring should be no different. Crafted with American steel and Texas grit.,From the heart of Texas. Worldwide delivered.,Learn More,nurgle-black-diamond-titanium-wedding-ring,
VALUE,"A lifetime guarantee, not a discount.",We don't do discounts. We build value in. Free custom engraving. A lifetime warranty. Scratch resistant comfort fit. That's the real deal. Pay over time with Affirm available.,"Real value is built in, not marked down.",Learn More,leporis-black-tungsten-ring-round-cut-white-cz,
VALUE,"Your initials, engraved forever. Free.",Make it undeniably yours. We include free custom engraving on every single order. Along with a lifetime warranty. This is how we build rings. And trust.,Free engraving. Lifetime warranty. Texas crafted.,Shop Now,needs-new-video,Close-up of an engraving machine etching initials inside a ring band.
VALUE,Comfort fit for life. Guaranteed.,"A ring should feel like part of you. Our comfort fit design does. Paired with a lifetime warranty, it's a promise that doesn't fade. Pay over time with Affirm available.",Built for a lifetime of wear. Not just for the day.,Learn More,meridian-flat-titanium-ring-purple-blue-diamond-pattern,
VALUE,"The ring, the warranty, the engraving.",This is the stack. A band built with character. Free engraving to make it yours. A lifetime warranty to keep it that way. Real value is in the making.,Built In Texas Since 2011. Pay over time with Affirm.,Shop Now,mirage-black-tungsten-ring-alexandrite-and-goldstone-inlay-flat,
PERSONA,For the groom who refuses boring.,"Your style isn't generic. Your ring shouldn't be either. Choose character over conformity. A band with a story, built for the man who wears something real.",Rings with stories built in. Texas crafted.,Shop Now,needs-new-video,"Quick cuts of an active, stylish man in various settings (workshop, outdoors) glancing at his unique ring."
PERSONA,This is your anniversary upgrade.,"The first ring marked the promise. This one marks the journey. Durable, character rich, and crafted with intention. For the chapters you've written together.",Real quality for a real life. Free engraving included.,Learn More,laurent-platinum-inlaid-beveled-tungsten-ring-with-diamond-8mm,
PERSONA,For the man with calloused hands.,"You build things. Fix things. Your ring should match that spirit. Scratch resistant, solid, and built to work. A band that earns its patina.",Built for a life of doing. Comfort fit. Lifetime warranty.,Shop Now,nurgle-black-diamond-titanium-wedding-ring,
PERSONA,Character over conformity.,"Skip the shiny, forgettable band. Choose one with depth. With materials that have a past. A ring that says you considered it. The kind people ask about.","Texas crafted, character rich rings. Worldwide delivered.",Learn More,odyssey-black-ceramic-ring-carpathian-elm-wood-inlay,